method,question_id,topic,category,num_turns,total_new_tokens,total_rounds,zero_accept_rounds,zero_accept_ratio,mat
vispec,mmspec_006,general vqa,default,1,13,3,0,0.0,4.333333333333333
vispec,mmspec_031,general vqa,default,1,23,8,2,0.25,2.875
vispec,mmspec_039,general vqa,default,1,66,21,2,0.09523809523809523,3.142857142857143
vispec,mmspec_048,general vqa,default,1,34,10,2,0.2,3.4
vispec,mmspec_050,general vqa,default,1,32,9,1,0.1111111111111111,3.5555555555555554
vispec,mmspec_084,general vqa,default,1,17,5,0,0.0,3.4
vispec,mmspec_090,general vqa,default,1,45,11,0,0.0,4.090909090909091
vispec,mmspec_096,general vqa,default,1,59,20,3,0.15,2.95
vispec,mmspec_097,general vqa,default,1,26,7,0,0.0,3.7142857142857144
vispec,mmspec_098,general vqa,default,1,37,10,1,0.1,3.7
vispec,mmspec_105,text vqa,text reading,1,44,11,1,0.09090909090909091,4.0
vispec,mmspec_111,text vqa,text reading,1,61,19,4,0.21052631578947367,3.210526315789474
vispec,mmspec_115,text vqa,text reading,1,15,3,0,0.0,5.0
vispec,mmspec_119,text vqa,text reading,1,61,21,2,0.09523809523809523,2.9047619047619047
vispec,mmspec_122,text vqa,text reading,1,19,6,1,0.16666666666666666,3.1666666666666665
vispec,mmspec_125,text vqa,text reading,1,39,20,8,0.4,1.95
vispec,mmspec_142,text vqa,text reading,1,92,38,4,0.10526315789473684,2.4210526315789473
vispec,mmspec_167,text vqa,text reading,1,66,22,4,0.18181818181818182,3.0
vispec,mmspec_182,text vqa,text reading,1,84,25,0,0.0,3.36
vispec,mmspec_191,text vqa,text reading,1,19,6,0,0.0,3.1666666666666665
vispec,mmspec_201,image captioning,image captioning,1,149,42,5,0.11904761904761904,3.5476190476190474
vispec,mmspec_220,image captioning,image captioning,1,234,62,1,0.016129032258064516,3.774193548387097
vispec,mmspec_236,image captioning,image captioning,1,119,35,2,0.05714285714285714,3.4
vispec,mmspec_241,image captioning,image captioning,1,214,62,0,0.0,3.4516129032258065
